身份证	身份证 🪪
锄	锄 ⛏
锄头	锄头 ⛏
匕首	匕首 🗡
剑	剑 ⚔
枪	枪 🔫
手枪	手枪 🔫
盾	盾 🛡
盾牌	盾牌 🛡
扳手	扳手 🔧
螺丝	螺丝 🔩
齿轮	齿轮 ⚙
轮子	轮子 🛞
轮	轮 🛞
轮胎	轮胎 🛞
夹子	夹子 🗜
天平	天平 ⚖
链子	链子 🔗
工具箱	工具箱 🧰
磁铁	磁铁 🧲
吸铁石	吸铁石 🧲
蒸馏	蒸馏 ⚗
试管	试管 🧪
培养皿	培养皿 🧫
DNA	DNA 🧬
基因	基因 🧬
灭火器	灭火器 🧯
显微镜	显微镜 🔬
望远镜	望远镜 🔭
天线	天线 📡
高速	高速 🛣
路	路 🛣
公路	公路 🛣
高速公路	高速公路 🛣
针	针 💉
针线	针线 🪡
缝纫	缝纫 🪡
缝补	缝补 🪡
针管	针管 💉
药	药 💊
绳	绳 🪢
绳子	绳子 🪢
结	结 🪢
打结	打结 🪢
药丸	药丸 💊
门	门 🚪
床	床 🛏
椅子	椅子 🪑
沙发	沙发 🛋
马桶	马桶 🚽
淋浴	淋浴 🚿
浴缸	浴缸 🛁
扫帚	扫帚 🧹
篮子	篮子 🧺
卫生纸	卫生纸 🧻
手纸	手纸 🧻
香皂	香皂 🧼
肥皂	肥皂 🧼
海绵	海绵 🧽
香烟	香烟 🚬
烟	烟 🚬
棺材	棺材 ⚰️
水龙头	水龙头 🚰
清洗	清洗 🧴
洗洁精	洗洁精 🧴
花札	花札 🎴
静音	静音 🔇
扩音器	扩音器 📢
ATM	ATM 🏧
取款机	取款机 🏧
提款机	提款机 🏧
轮椅	轮椅 ♿
拐杖	拐杖 🩼
休息室	休息室 🚻
厕所	厕所 🚾
警告	警告 ⚠️
注意	注意 ⚠️
禁止通行	禁止通行 ⛔
禁止	禁止 ⛔
18禁	18禁 🔞
辐射	辐射 ☢️
放射	放射 ☢️
心	心 💘
心碎	心碎 💔
心脏	心脏 🫀
肺	肺 🫁
温泉	温泉 ♨
停	停 🛑
停止	停止 🛑
表	表 🕛
钟	钟 🕛
钟表	钟表 🕛
统计	统计 📈
趋势	趋势 📈
上	上 ⬆
下	下 ⬇
上涨	上涨 📈
下跌	下跌 📉
增长	增长 📈
减少	减少 📉
左	左 ⬅
右	右 ➡
箭头	箭头 ⬆
礼拜室	礼拜室 🛐
寺庙	寺庙 🛕
庙	庙 🛕
原子	原子 ⚛️
无穷	无穷 ♾️
无限	无限 ♾️
宗教	宗教 🕉
太极	太极 ☯
阴阳	阴阳 ☯
水瓶座	水瓶座 ♒
双鱼座	双鱼座 ♓
白羊座	白羊座 ♈
金牛座	金牛座 ♉
双子座	双子座 ♊
巨蟹座	巨蟹座 ♋
狮子座	狮子座 ♌
处女座	处女座 ♍
天秤座	天秤座 ♎
天蝎座	天蝎座 ♏
射手座	射手座 ♐
摩羯座	摩羯座 ♑
电影院	电影院 🎦
亮度	亮度 🔅
信号	信号 📶
无线	无线 🛜
震动	震动 📳
关机	关机 📴
循环	循环 ♻
单曲	单曲 🔂
随机	随机 🔀
徽章	徽章 📛
叉	叉 ❌
戟	戟 🔱
勾	勾 ✔
新手	新手 🔰
对勾	对勾 ✅
正确	正确 ✔️
错	错 ❌
错误	错误 ❌
加	加 +
和	和 &
求和	求和 ∑
乘	乘 ×
除	除 ÷
井	井 #
等于	等于 =
等号	等号 =
小于	小于 <
大于	大于 >
小于等于	小于等于 ≤
大于等于	大于等于 ≥
不等于	不等于 ≠
不等	不等 ≠
问号	问号 ❓
疑问	疑问 😕
呸	呸 😖
叹号	叹号 ❗
惊叹	惊叹 😮
惊讶	惊讶 😮
百分	百分 💯
万	万 卍
满分	满分 💯
血型	血型 🆎
字母	字母 🔤
求救	求救 🆘
身份	身份 🆔
停车	停车 🅿
信息	信息 ℹ
木头	木头 🪵
指	指 🈯
方框	方框 ☐
正方形	正方形 ☐
方块	方块 ☐
菱形	菱形 ◇
三角	三角 △
圆	圆 ⚪
圆形	圆形 ⚪
桥	桥 🌉
旗帜	旗帜 🏁
旗子	旗子 🏁
红旗	红旗 🚩
旗	旗 🏁
